title,authors,publication_date,venue,record_id,table_name,source_file,source_type,page,section_title,section_type,page_start,page_end,evidence_text,confidence,warnings,needs_review_reasons,supernova_name,redshift,peak_magnitude,filter_band,decay_rate,observation_telescope,host_galaxy_type,fit_method,fit_parameters,residual_std_dev,chi_squared,progenitor_model,paper_title,material,method,metric_value,unit,condition,metric_name,source_1,value_1,source_2,value_2,discrepancy_reason
,,,,dyn_043c952c3e,light_curve_fits,arxiv_0705_0726v2_diversity_of_decline_rate_corrected_type_ia_supernova_rise_times_one_mode_or_two.pdf,pdf_text,7.0,4.1. Correcting the Rise Time for Decline Rate,method,7.0,7.0,"SN 1994D 9432 . 29 ± 0. 14 1 . 344 ± 0. 021 15 . 39 ± 0. 47 2 . 04 ± 0. 53 (3 , 4)",0.9,,,SN 1994D,,,,,,,AQUAA,"['tBmax=9432.29', 'delta_m15=1.344']",,,,,,,,,,,,,,,
,,,,dyn_3e04d3fd03,light_curve_fits,arxiv_0705_0726v2_diversity_of_decline_rate_corrected_type_ia_supernova_rise_times_one_mode_or_two.pdf,pdf_text,7.0,4.1. Correcting the Rise Time for Decline Rate,method,7.0,7.0,"SN 1998aq 10931 . 04 ± 0. 14 1 . 042 ± 0. 021 17 . 52 ± 0. 58 2 . 03 ± 0. 64 (5 , 2)",0.9,,,SN 1998aq,,,,,,,AQUAA,"['tBmax=10931.04', 'delta_m15=1.042']",,,,,,,,,,,,,,,
,,,,dyn_ddee8d352c,light_curve_fits,arxiv_0705_0726v2_diversity_of_decline_rate_corrected_type_ia_supernova_rise_times_one_mode_or_two.pdf,pdf_text,7.0,4.1. Correcting the Rise Time for Decline Rate,method,7.0,7.0,"SN 2001el 12182 . 19 ± 0. 17 1 . 168 ± 0. 021 18 . 00 ± 0. 56 3 . 57 ± 0. 63 (6 , 7)",0.9,,,SN 2001el,,,,,,,AQUAA,"['tBmax=12182.19', 'delta_m15=1.168']",,,,,,,,,,,,,,,
,,,,dyn_3f090db1e7,light_curve_fits,arxiv_0705_0726v2_diversity_of_decline_rate_corrected_type_ia_supernova_rise_times_one_mode_or_two.pdf,pdf_text,7.0,4.1. Correcting the Rise Time for Decline Rate,method,7.0,7.0,"SN 2002bo 12356 . 39 ± 0. 20 1 . 162 ± 0. 031 16 . 05 ± 0. 37 1 . 57 ± 0. 53 (8 , 9, 10)",0.9,,,SN 2002bo,,,,,,,AQUAA,"['tBmax=12356.39', 'delta_m15=1.162']",,,,,,,,,,,,,,,
,,,,dyn_4f54987add,light_curve_fits,arxiv_0705_0726v2_diversity_of_decline_rate_corrected_type_ia_supernova_rise_times_one_mode_or_two.pdf,pdf_text,7.0,4.1. Correcting the Rise Time for Decline Rate,method,7.0,7.0,"SN 2003du 12765 . 95 ± 0. 14 0 . 982 ± 0. 021 17 . 71 ± 0. 35 1 . 64 ± 0. 44 (11 , 12, 13, 14)",0.9,,,SN 2003du,,,,,,,AQUAA,"['tBmax=12765.95', 'delta_m15=0.982']",,,,,,,,,,,,,,,
,,,,dyn_7afa886d6c,light_curve_fits,arxiv_0705_0726v2_diversity_of_decline_rate_corrected_type_ia_supernova_rise_times_one_mode_or_two.pdf,pdf_text,7.0,4.1. Correcting the Rise Time for Decline Rate,method,7.0,7.0,"SN 2004eo 13278 . 65 ± 0. 14 1 . 403 ± 0. 037 16 . 64 ± 0. 44 3 . 86 ± 0. 53 (15 , 16)",0.9,,,SN 2004eo,,,,,,,AQUAA,"['tBmax=13278.65', 'delta_m15=1.403']",,,,,,,,,,,,,,,
,,,,dyn_468512a6e0,light_curve_fits,arxiv_0705_0726v2_diversity_of_decline_rate_corrected_type_ia_supernova_rise_times_one_mode_or_two.pdf,pdf_text,7.0,4.1. Correcting the Rise Time for Decline Rate,method,7.0,7.0,SN 2005cf 13533 . 78 ± 0. 14 1 . 068 ± 0. 021 16 . 62 ± 0. 25 1 . 35 ± 0. 36 (17),0.9,,,SN 2005cf,,,,,,,AQUAA,"['tBmax=13533.78', 'delta_m15=1.068']",,,,,,,,,,,,,,,
,,,,dyn_5f7899cf40,other_required_fields,arxiv_0705_0726v2_diversity_of_decline_rate_corrected_type_ia_supernova_rise_times_one_mode_or_two.pdf,pdf_text,7.0,4.1. Correcting the Rise Time for Decline Rate,method,7.0,7.0,"TABLE 1 Results of AQUAA light-curve fits. SN tBmax (JD − 2,440,000) ∆ m15 (mag) Rise time (rest-frame days) Rise time − fall time (rest-frame days) Photometry references SN 1990N 8082 . 46 ± 0. 35 0 . 990 ± 0. 034 20 . 01 ± 0. 46 4 . 04 ± 0. 74 (1 , 2)",0.95,,,,,,,,,,,,,,,Diversity of SN Ia Rise Times: One Mode or Two?,TABLE 1 Results of AQUAA light-curve fits.,AQUAA light-curve fitting,0.990,mag,delta m15,,,,,,
,,,,dyn_07a5c2060f,other_required_fields,arxiv_0705_0726v2_diversity_of_decline_rate_corrected_type_ia_supernova_rise_times_one_mode_or_two.pdf,pdf_text,7.0,4.1. Correcting the Rise Time for Decline Rate,method,7.0,7.0,"SN 1994D 9432 . 29 ± 0. 14 1 . 344 ± 0. 021 15 . 39 ± 0. 47 2 . 04 ± 0. 53 (3 , 4)",0.95,,,,,,,,,,,,,,,Diversity of SN Ia Rise Times: One Mode or Two?,TABLE 1 Results of AQUAA light-curve fits.,AQUAA light-curve fitting,1.344,mag,delta m15,,,,,,
,,,,dyn_49bdc8345e,other_required_fields,arxiv_0705_0726v2_diversity_of_decline_rate_corrected_type_ia_supernova_rise_times_one_mode_or_two.pdf,pdf_text,7.0,4.1. Correcting the Rise Time for Decline Rate,method,7.0,7.0,"SN 1998aq 10931 . 04 ± 0. 14 1 . 042 ± 0. 021 17 . 52 ± 0. 58 2 . 03 ± 0. 64 (5 , 2)",0.95,,,,,,,,,,,,,,,Diversity of SN Ia Rise Times: One Mode or Two?,TABLE 1 Results of AQUAA light-curve fits.,AQUAA light-curve fitting,1.042,mag,delta m15,,,,,,
,,,,dyn_a889a5c23c,other_required_fields,arxiv_0705_0726v2_diversity_of_decline_rate_corrected_type_ia_supernova_rise_times_one_mode_or_two.pdf,pdf_text,7.0,4.1. Correcting the Rise Time for Decline Rate,method,7.0,7.0,"SN 2001el 12182 . 19 ± 0. 17 1 . 168 ± 0. 021 18 . 00 ± 0. 56 3 . 57 ± 0. 63 (6 , 7)",0.95,,,,,,,,,,,,,,,Diversity of SN Ia Rise Times: One Mode or Two?,TABLE 1 Results of AQUAA light-curve fits.,AQUAA light-curve fitting,1.168,mag,delta m15,,,,,,
,,,,dyn_9d53c21064,other_required_fields,arxiv_0705_0726v2_diversity_of_decline_rate_corrected_type_ia_supernova_rise_times_one_mode_or_two.pdf,pdf_text,7.0,4.1. Correcting the Rise Time for Decline Rate,method,7.0,7.0,"SN 2002bo 12356 . 39 ± 0. 20 1 . 162 ± 0. 031 16 . 05 ± 0. 37 1 . 57 ± 0. 53 (8 , 9, 10)",0.95,,,,,,,,,,,,,,,Diversity of SN Ia Rise Times: One Mode or Two?,TABLE 1 Results of AQUAA light-curve fits.,AQUAA light-curve fitting,1.162,mag,delta m15,,,,,,
,,,,dyn_64e68896e3,other_required_fields,arxiv_0705_0726v2_diversity_of_decline_rate_corrected_type_ia_supernova_rise_times_one_mode_or_two.pdf,pdf_text,7.0,4.1. Correcting the Rise Time for Decline Rate,method,7.0,7.0,"SN 2003du 12765 . 95 ± 0. 14 0 . 982 ± 0. 021 17 . 71 ± 0. 35 1 . 64 ± 0. 44 (11 , 12, 13, 14)",0.95,,,,,,,,,,,,,,,Diversity of SN Ia Rise Times: One Mode or Two?,TABLE 1 Results of AQUAA light-curve fits.,AQUAA light-curve fitting,0.982,mag,delta m15,,,,,,
,,,,dyn_4b0bc5751e,other_required_fields,arxiv_0705_0726v2_diversity_of_decline_rate_corrected_type_ia_supernova_rise_times_one_mode_or_two.pdf,pdf_text,7.0,4.1. Correcting the Rise Time for Decline Rate,method,7.0,7.0,"SN 2004eo 13278 . 65 ± 0. 14 1 . 403 ± 0. 037 16 . 64 ± 0. 44 3 . 86 ± 0. 53 (15 , 16)",0.95,,,,,,,,,,,,,,,Diversity of SN Ia Rise Times: One Mode or Two?,TABLE 1 Results of AQUAA light-curve fits.,AQUAA light-curve fitting,1.403,mag,delta m15,,,,,,
,,,,dyn_9cdb1fb9f2,other_required_fields,arxiv_0705_0726v2_diversity_of_decline_rate_corrected_type_ia_supernova_rise_times_one_mode_or_two.pdf,pdf_text,7.0,4.1. Correcting the Rise Time for Decline Rate,method,7.0,7.0,SN 2005cf 13533 . 78 ± 0. 14 1 . 068 ± 0. 021 16 . 62 ± 0. 25 1 . 35 ± 0. 36 (17),0.95,,,,,,,,,,,,,,,Diversity of SN Ia Rise Times: One Mode or Two?,TABLE 1 Results of AQUAA light-curve fits.,AQUAA light-curve fitting,1.068,mag,delta m15,,,,,,
,,,,dyn_4791fb6d28,light_curve_metrics,arxiv_0705_0726v2_diversity_of_decline_rate_corrected_type_ia_supernova_rise_times_one_mode_or_two.pdf,pdf_text,7.0,4.1. Correcting the Rise Time for Decline Rate,method,7.0,7.0,"SN 1998aq, for which the V -ﬁlter data that largely con-trol their times of explosion texpl were included.",0.9,required dynamic field missing: redshift; required dynamic field missing: peak_magnitude; required dynamic field missing: decay_rate; record contains extraction warnings that require review,record contains extraction warnings that require review,SN 1998aq,,,V,,,,,,,,,,,,,,,,,,,,
,,,,dyn_72cc651f2b,light_curve_fits,arxiv_0705_0726v2_diversity_of_decline_rate_corrected_type_ia_supernova_rise_times_one_mode_or_two.pdf,pdf_text,7.0,4.1. Correcting the Rise Time for Decline Rate,method,7.0,7.0,"From these simple ﬁts, texpl on average diﬀered by only +0.01 days from those of aquaa, with an rms diﬀerence of 0.33 days.",0.85,,,SN 1998aq,,,,,,,aquaa,,,,,,,,,,,,,,,,
,,,,dyn_6aa72343bc,cross_survey_comparisons,arxiv_0705_0726v2_diversity_of_decline_rate_corrected_type_ia_supernova_rise_times_one_mode_or_two.pdf,pdf_text,7.0,4.1. Correcting the Rise Time for Decline Rate,method,7.0,7.0,"For these SNe, the full difference in texpl between the simple and aquaa ﬁts was added in quadrature to the other rise-time errors; for the remaining SNe, the median of those |diﬀerences| was used.",0.9,required dynamic field missing: value_1; required dynamic field missing: value_2; record contains extraction warnings that require review,record contains extraction warnings that require review,SN 1998aq,,,,,,,,,,,,,,,,,,rise_time,aquaa algorithm,,simple parabolic fits,,Differences in texpl between aquaa and simple parabolic fits to early data
,,,,dyn_b6cd2771f6,other_required_fields,arxiv_0705_0726v2_diversity_of_decline_rate_corrected_type_ia_supernova_rise_times_one_mode_or_two.pdf,pdf_text,7.0,4.1. Correcting the Rise Time for Decline Rate,method,7.0,7.0,"From these simple ﬁts, texpl on average diﬀered by only +0.01 days from those of aquaa, with an rms diﬀerence of 0.33 days.",0.9,,,,,,,,,,,,,,,Diversity of Decline Rate-Corrected Type Ia Supernova Rise Times: One Mode or Two?,Supplementary material not available in this excerpt,aquaa algorithm and simple parabolic fits to early data,difference in texpl,days,early data fitting,,,,,,
,,,,dyn_1582dea73e,light_curve_metrics,arxiv_2409_04346v2_ztf_sn_ia_dr2_overview.pdf,pdf_text,7.0,4.6. Selection,experiments,7.0,7.0,"Below this redshift of 0.06, our sample is considered to be free from nonrandom selection functions for the normal SN Ia population (see Sect. 4.6). We refer to this sample as “volume limited” and it contains nearly 1000 normal SN Ia targets.",0.95,required dynamic field missing: supernova_name; required dynamic field missing: peak_magnitude; required dynamic field missing: filter_band; required dynamic field missing: decay_rate; record contains extraction warnings that require review,record contains extraction warnings that require review,,0.06,,,,,,,,,,,,,,,,,,,,,,
,,,,dyn_11a5755aa6,light_curve_fits,arxiv_2409_04346v2_ztf_sn_ia_dr2_overview.pdf,pdf_text,7.0,4.6. Selection,experiments,7.0,7.0,We show the SALT2 stretch ( x1) and color ( c) parameters for all the 2667 SNe Ia passing our “basic quality” cuts in Fig 5.,0.9,required dynamic field missing: supernova_name; record contains extraction warnings that require review,record contains extraction warnings that require review,,,,,,,,SALT2,"['x1=stretch', 'c=color']",,,,,,,,,,,,,,,
,,,,dyn_a45b9d7be5,cross_survey_comparisons,arxiv_2409_04346v2_ztf_sn_ia_dr2_overview.pdf,pdf_text,7.0,4.6. Selection,experiments,7.0,7.0,We show the SALT2 stretch ( x1) and color ( c) parameters for all the 2667 SNe Ia passing our “basic quality” cuts in Fig 5.,0.75,No specific values reported; only general distribution shown in figure. Discrepancy reason inferred due to lack of numerical data.; required dynamic field missing: supernova_name; required dynamic field missing: value_1; required dynamic field missing: value_2; record contains extraction warnings that require review,record contains extraction warnings that require review,,,,,,,,,,,,,,,,,,,SALT2 stretch (x1),"Rigault et al. (2024,b)",,Fig. 5,,Different filter bands or fitting method not specified; data shown in figure may represent a subset of the full sample.
,,,,dyn_d9fa6933a0,other_required_fields,arxiv_2409_04346v2_ztf_sn_ia_dr2_overview.pdf,pdf_text,7.0,4.6. Selection,experiments,7.0,7.0,"We show the SALT2 stretch ( x1) and color ( c) parameters for all the 2667 SNe Ia passing our “basic quality” cuts in Fig 5. Below this redshift of 0.06, our sample is considered to be free from nonrandom selection functions for the normal SN Ia population (see Sect. 4.6). We refer to this sample as “volume limited” and it contains nearly 1000 normal SN Ia targets.",0.5,evidence text not found on recorded PDF page,,,,,,,,,,,,,,ZTF SN Ia DR2: Overview,Supplementary material and figures,SALT2 light curve fitting,"x1 (stretch), c (color)",dimensionless,"z < 0.06, volume-limited sample",,,,,,
,,,,dyn_2d0dbcfb72,light_curve_metrics,arxiv_2409_04346v2_ztf_sn_ia_dr2_overview.pdf,pdf_text,7.0,4.6. Selection,experiments,7.0,7.0,"We present our ZTF Hubble diagram for the 2629 non-peculiar SNe Ia that pass our quality cuts in Fig. 6. These SNe Ia have been standardized using the methodology detailed in Ginolin et al. (2024,a), given the SALT2 stretch and color parameter and host local environmental properties (e.g., Sullivan et al. 2010; Rigault et al. 2020). Following that paper, we have used α =−0.16, β = 3.05, and γ = 0.145 mag (local-color step). Before standardization, our SNe Ia have a natural scatter along the Hubble diagram of 0.33 mag, using the normalized median absolute deviation (nMAD) as a robust scatter estimator. The standard deviation (std) is 0.46 mag (nMAD = std for a normal distribution). This scatter reduces down to 0.165 mag after standardization (std: 0.209 mag), accounting for all 2629 of the ZTF DR2 non-peculiar SNe Ia.",0.95,required dynamic field missing: supernova_name; required dynamic field missing: peak_magnitude; required dynamic field missing: filter_band; required dynamic field missing: decay_rate; record contains extraction warnings that require review,record contains extraction warnings that require review,,0.07,,,,ZTF,,,,,,,,,,,,,,,,,,
,,,,dyn_f15cf02e72,light_curve_fits,arxiv_2409_04346v2_ztf_sn_ia_dr2_overview.pdf,pdf_text,7.0,4.6. Selection,experiments,7.0,7.0,"Following that paper, we have used α =−0.16, β = 3.05, and γ = 0.145 mag (local-color step). Before standardization, our SNe Ia have a natural scatter along the Hubble diagram of 0.33 mag, using the normalized median absolute deviation (nMAD) as a robust scatter estimator. The standard deviation (std) is 0.46 mag (nMAD = std for a normal distribution). This scatter reduces down to 0.165 mag after standardization (std: 0.209 mag), accounting for all 2629 of the ZTF DR2 non-peculiar SNe Ia.",0.9,required dynamic field missing: supernova_name; record contains extraction warnings that require review,record contains extraction warnings that require review,,,,,,,,SALT2,"['alpha=-0.16', 'beta=3.05', 'gamma=0.145']",0.209,,,,,,,,,,,,,,
,,,,dyn_6e8ce264d6,cross_survey_comparisons,arxiv_2409_04346v2_ztf_sn_ia_dr2_overview.pdf,pdf_text,7.0,4.6. Selection,experiments,7.0,7.0,"Such a 0.15 magnitude scatter is in good agreement with the state-of-the-art results from the literature (see e.g., Brout et al. 2022).",0.85,required dynamic field missing: supernova_name; record contains extraction warnings that require review,record contains extraction warnings that require review,,,,,,,,,,,,,,,,,,,standardized_Hubble_residual_scatter,"ZTF DR2 (Ginolin et al. 2024,a)",0.165,Brout et al. 2022,0.15,Different sample selection and analysis methods; ZTF DR2 uses 2629 non-peculiar SNe Ia with specific quality cuts and standardization parameters.
,,,,dyn_12c855f3f9,other_required_fields,arxiv_2409_04346v2_ztf_sn_ia_dr2_overview.pdf,pdf_text,7.0,4.6. Selection,experiments,7.0,7.0,"This scatter reduces down to 0.165 mag after standardization (std: 0.209 mag), accounting for all 2629 of the ZTF DR2 non-peculiar SNe Ia.",0.9,,,,,,,,,,,,,,,ZTF SN Ia DR2 Overview,ZTF DR2 non-peculiar SNe Ia sample,SALT2 stretch and color parameter with host local environmental properties,0.165,mag,after standardization,,,,,,
,,,,dyn_42685f0dcc,light_curve_metrics,arxiv_9602025v1_explosion_models_for_type_ia_supernovae_a_comparison_with_observed_light_curves_.pdf,pdf_text,7.0,2. Models,method,7.0,7.0,A set of 37 SNe Ia parameterized explosion models has been considered which encompasses all currently discussed explosion scenarios (Table 1).,0.0,required dynamic field missing: supernova_name; required dynamic field missing: redshift; required dynamic field missing: peak_magnitude; required dynamic field missing: filter_band; required dynamic field missing: decay_rate; record contains extraction warnings that require review; record confidence is below the review threshold,record contains extraction warnings that require review; record confidence is below the review threshold,,,,,,,,,,,,,,,,,,,,,,,,
,,,,dyn_cd65ce2563,progenitor_evidence,arxiv_9602025v1_explosion_models_for_type_ia_supernovae_a_comparison_with_observed_light_curves_.pdf,pdf_text,7.0,2. Models,method,7.0,7.0,A set of 37 SNe Ia parameterized explosion models has been considered which encompasses all currently discussed explosion scenarios (Table 1).,0.0,required dynamic field missing: supernova_name; required dynamic field missing: progenitor_model; record contains extraction warnings that require review; record confidence is below the review threshold,record contains extraction warnings that require review; record confidence is below the review threshold,,,,,,,,,,,,,,,,,,,,,,,,
,,,,dyn_f29791b3e5,light_curve_fits,arxiv_9602025v1_explosion_models_for_type_ia_supernovae_a_comparison_with_observed_light_curves_.pdf,pdf_text,7.0,2. Models,method,7.0,7.0,"Based on the explosion models, further hydrodynamical evolution, and bolometric and monochromatic light curves are calculated using a scheme recently developed and widely applied to SN Ia (e.g. HKM91, KMH93, MH94). In principle, it is the same code as that described above, but nuclear burning is neglected and γ ray transport is included via a Monte Carlo scheme.",0.0,required dynamic field missing: supernova_name; required dynamic field missing: fit_method; record contains extraction warnings that require review; record confidence is below the review threshold,record contains extraction warnings that require review; record confidence is below the review threshold,,,,,,,,,,,,,,,,,,,,,,,,
,,,,dyn_a96f35cf61,cross_survey_comparisons,arxiv_9602025v1_explosion_models_for_type_ia_supernovae_a_comparison_with_observed_light_curves_.pdf,pdf_text,7.0,2. Models,method,7.0,7.0,"Another uncertainty which affects the comparison with observations is due to the filter functions. For observations, any filter can be recalibrated to a set of standard stars, but the frequency response must be known to translate theoretical monochromatic fluxes into colors.",0.0,required dynamic field missing: supernova_name; required dynamic field missing: metric_name; required dynamic field missing: source_1; required dynamic field missing: value_1; required dynamic field missing: source_2; required dynamic field missing: value_2; record contains extraction warnings that require review; record confidence is below the review threshold,record contains extraction warnings that require review; record confidence is below the review threshold,,,,,,,,,,,,,,,,,,,,,,,,
,,,,dyn_9330b5a700,other_required_fields,arxiv_9602025v1_explosion_models_for_type_ia_supernovae_a_comparison_with_observed_light_curves_.pdf,pdf_text,7.0,2. Models,method,7.0,7.0,"A set of 37 SNe Ia parameterized explosion models has been considered which encompasses all currently discussed explosion scenarios (Table 1). The explosions are calculated using one-dimensional Lagrangian hydro with artificial viscosity (Khokhlov, 1991ab) and radiation-hydro codes including nuclear networks (Höflich et al. 1995b). ... Another uncertainty which affects the comparison with observations is due to the filter functions. For observations, any filter can be recalibrated to a set of standard stars, but the frequency response must be known to translate theoretical monochromatic fluxes into colors.",0.0,required dynamic field missing: metric_value; required dynamic field missing: unit; record contains extraction warnings that require review; record confidence is below the review threshold; evidence text not found on recorded PDF page,record contains extraction warnings that require review; record confidence is below the review threshold,,,,,,,,,,,,,Explosion Models for Type Ia Supernovae: A Comparison with Observed Light Curves,37 SNe Ia parameterized explosion models encompassing all currently discussed explosion scenarios,One-dimensional Lagrangian hydro with artificial viscosity; radiation-hydro codes including nuclear networks; piecewise parabolic method for hydrodynamics; implicit radiation transport via moment equations; Monte Carlo scheme for γ-ray transport; NLTE spectra constructed for several models,,,Theoretical model comparison with observed light curves; includes filter function uncertainty in color translation,,,,,,
,,,,dyn_3647e27e21,light_curve_metrics,arxiv_0409338v1_the_late_time_light_curve_of_the_type_ia_supernova_2000cx.pdf,pdf_text,4.0,2. Observations and data analysis,method,4.0,4.0,"SN 2000cx was also observed with HST. A log of the HST observations is given in Table 7. We retrieved the data from the HST science archive, which delivers the fully reduced WFPC2 images. The photometry was performed using the HSTPhot package as described by Dolphin (2000). This software fits point-spread functions (PSF) to the detected objects, and also accounts for charge transfer efficiencies and aperture corrections. Following Li et al. (2002), we used option 10 to measure the supernova magnitudes. This option uses local sky determination and default aperture corrections. The magnitudes in the WFPC system and error estimates from HSTPhot for SN 2000cx are also given in Table 7.",0.9,required dynamic field missing: redshift; required dynamic field missing: peak_magnitude; required dynamic field missing: decay_rate; record contains extraction warnings that require review,record contains extraction warnings that require review,SN 2000cx,,,F675W,,HST,,,,,,,,,,,,,,,,,,
,,,,dyn_4089012696,light_curve_metrics,arxiv_0409338v1_the_late_time_light_curve_of_the_type_ia_supernova_2000cx.pdf,pdf_text,4.0,2. Observations and data analysis,method,4.0,4.0,"This gave an offset of 0.23 (Vega) mag, which converts our measured F675W magnitude to R = 22.21 mag, and similarly F814W to I = 21.68 mag.",0.95,required dynamic field missing: redshift; required dynamic field missing: decay_rate; record contains extraction warnings that require review,record contains extraction warnings that require review,SN 2000cx,,22.21,R,,HST,,,,,,,,,,,,,,,,,,
,,,,dyn_ef116e0bcd,light_curve_metrics,arxiv_0409338v1_the_late_time_light_curve_of_the_type_ia_supernova_2000cx.pdf,pdf_text,4.0,2. Observations and data analysis,method,4.0,4.0,"This gave an offset of 0.23 (Vega) mag, which converts our measured F675W magnitude to R = 22.21 mag, and similarly F814W to I = 21.68 mag.",0.95,required dynamic field missing: redshift; required dynamic field missing: decay_rate; record contains extraction warnings that require review,record contains extraction warnings that require review,SN 2000cx,,21.68,I,,HST,,,,,,,,,,,,,,,,,,
,,,,dyn_aefb43af6f,light_curve_fits,arxiv_0409338v1_the_late_time_light_curve_of_the_type_ia_supernova_2000cx.pdf,pdf_text,4.0,2. Observations and data analysis,method,4.0,4.0,"The photometry was performed using the HSTPhot package as described by Dolphin (2000). This software fits point-spread functions (PSF) to the detected objects, and also accounts for charge transfer efficiencies and aperture corrections. Following Li et al. (2002), we used option 10 to measure the supernova magnitudes. This option uses local sky determination and default aperture corrections.",0.9,,,SN 2000cx,,,,,,,HSTPhot,"['local sky determination', 'default aperture corrections']",,,,,,,,,,,,,,,
,,,,dyn_52937438cc,other_required_fields,arxiv_0409338v1_the_late_time_light_curve_of_the_type_ia_supernova_2000cx.pdf,pdf_text,4.0,2. Observations and data analysis,method,4.0,4.0,"This gave an offset of 0.23 (Vega) mag, which converts our measured F675W magnitude to R = 22.21 mag, and similarly F814W to I = 21.68 mag.",0.95,,,,,,,,,,,,,,,The late time light curve of the Type Ia supernova 2000cx,HST science archive,HSTPhot package with option 10 (local sky determination and default aperture corrections),22.21,mag,converted from F675W using SYNPHOT task pltrans with late-time spectrum at 360 days past maximum,,,,,,
,,,,dyn_f2b9eace52,other_required_fields,arxiv_0409338v1_the_late_time_light_curve_of_the_type_ia_supernova_2000cx.pdf,pdf_text,4.0,2. Observations and data analysis,method,4.0,4.0,"This gave an offset of 0.23 (Vega) mag, which converts our measured F675W magnitude to R = 22.21 mag, and similarly F814W to I = 21.68 mag.",0.95,,,,,,,,,,,,,,,The late time light curve of the Type Ia supernova 2000cx,HST science archive,HSTPhot package with option 10 (local sky determination and default aperture corrections),21.68,mag,converted from F814W using SYNPHOT task pltrans with late-time spectrum at 360 days past maximum,,,,,,
,,,,dyn_084f646194,other_required_fields,arxiv_0409338v1_the_late_time_light_curve_of_the_type_ia_supernova_2000cx.pdf,pdf_text,4.0,2. Observations and data analysis,method,4.0,4.0,"bias subtraction, flat fielding, and wavelength calibration using spectra of a Helium-Argon lamp. Flux calibration was done relative to the spectrophotometric standard star LTT377 with the 300V grism and to G158-100 with the 300I grism. The absolute flux calibration of the combined spectrum was obtained relative to our broad-band photometry.",0.9,,,,,,,,,,,,,,,The late time light curve of the Type Ia supernova 2000cx,spectra of a Helium-Argon lamp,"bias subtraction, flat fielding, and wavelength calibration",flux calibration relative to spectrophotometric standard stars LTT377 and G158-100,absolute flux calibration,using 300V grism and 300I grism,,,,,,
,,,,dyn_ca297782fd,light_curve_fits,arxiv_2509_04073v1_ztf_sne_ia_dr2_towards_cosmology_grade_ztf_supernova_light_curves_using_scene_mo.pdf,pdf_text,5.0,3.1. The Scene modeling Method,method,5.0,5.0,"The scene modeling method we use is described in Astier et al. (2013). It consists in fitting a model of the scene i.e. the SN and its host galaxy, on a series of image cutouts centered on the SN. These include on (containing SN light), and off (taken either before or after the SN has faded) images. The model is of the form: Yip = Ri h fi×ψi (xp− Ti(xSN)) + Ki⊗ G (T−1 i (xp)) + S i i , (1) where the indices i, p are running over the cutouts and cutout pixels, respectively. fi is the SN flux on cutout i, ψi is the PSF model on exposure i at the position of the SN. The galaxy background flux profile, noted G(x) is modeled using a free pixel grid defined in the frame of the best seeing cutout, called hereafter reference cutout. To predict the galaxy profile in cutout i, G is convolved with Ki, a position-variable kernel that allows to match the reference and current PSF models: ψi = Ki⊗ψref. Ti are the coordinate mappings from the reference cutout to image i, modeled as polynomial functions of the coordinates. S i is an additive term introduced to account for sky level differences between image i and the reference image. Finally, the Ri’s are the photometric coefficients that account for the throughput differences between exposure i and the reference exposure.",0.95,required dynamic field missing: supernova_name; record contains extraction warnings that require review,record contains extraction warnings that require review,,,,,,,,Scene modeling method,"['SN fluxes fi', 'SN position xSN', 'galaxy model G', 'sky levels S i']",,,,,,,,,,,,,,,
,,,,dyn_0a72ff2199,other_required_fields,arxiv_2509_04073v1_ztf_sne_ia_dr2_towards_cosmology_grade_ztf_supernova_light_curves_using_scene_mo.pdf,pdf_text,5.0,3.2. Input Data Frames,method,5.0,5.0,"We start our re-analysis of the ZTF SN Ia DR2 dataset from the sci exposures already detrended by the ZTF pipeline (Masci et al. 2019). The ZTF DAQ delivers 64 fits frames per exposures, one for each amplifier. These frames are slightly compressed (slightly lossy Rice compression with fpack) at the telescope to accomodate the limited bandwidth of the hpwren microwave network connecting Palomar with the outer world. At IPAC, the resulting image is overscan-corrected, bias subtracted and flat-fielded. Bias frames are taken daily and stacked using a robust averaging algorithm to produce a master bias frame. The same process is applied to create master flatfield frames from individual frames taken daily with a LED-based illumination system. Bad pixels are identified and tagged during this process.",0.9,required dynamic field missing: metric_value; required dynamic field missing: unit; record contains extraction warnings that require review,record contains extraction warnings that require review,,,,,,,,,,,,,Towards Cosmology with ZTF Supernova Light Curves Using Scene Modeling,ZTF SN Ia DR2 dataset,Scene modeling method,,,Input data frames re-analyzed from sci exposures detrended by the ZTF pipeline (Masci et al. 2019),,,,,,
,,,,dyn_cf7026b00d,other_required_fields,arxiv_2509_04073v1_ztf_sne_ia_dr2_towards_cosmology_grade_ztf_supernova_light_curves_using_scene_mo.pdf,pdf_text,5.0,3.1. TheScenemodelingMethod,method,5.0,5.0,Our effort uses (1) the detrended images for each quadrant (2) the mask images that notably identify cosmics and saturated pixels and (3) the WCS solution stored in the headers. As detailed in Table 1 the volume of the ZTF exposure,0.85,,,,,,,,,,,,,,,ZTF Supernova Light Curves Using Scene Modeling: Towards Cosmology,"detrended images, mask images, WCS solution","Scene modeling using detrended images, mask images, and WCS solution",volume of the ZTF exposure,not specified,as detailed in Table 1,,,,,,
